L,end_ny,rr,concept,n,gross,net,net5050,vs_rand,cost_R,risk_med,H1,H2
210,22,2.0,False,1059,0.04950075418025358,-0.16864002907547296,-0.16864002907547296,0.039908388992962056,0.21814078325572653,2.1173214285713584,-0.22246268422915969,-0.10800848381198246
210,23,1.0,False,1517,0.008407818760208609,-0.177943365976474,-0.17662497441418,0.012096470289176646,0.18635118473668263,2.434982142857052,-0.2113783176783159,-0.14347895793039864
210,23,2.0,False,1517,0.059310892534326504,-0.12704029220235608,-0.12605149853063558,0.05105107385985414,0.18635118473668263,2.434982142857052,-0.1548841688929142,-0.09833910739415028
210,0,1.0,False,1871,-0.003380430089403608,-0.19165454883492117,-0.19058560174780198,0.000578325055027713,0.18827411874551758,2.3095535714285234,-0.22699327010658688,-0.15833413459330914
210,0,2.0,False,1871,0.031191240040446218,-0.1570828787050714,-0.1570828787050714,0.03053170676731471,0.18827411874551758,2.3095535714285234,-0.20987009922241295,-0.10731050463472226
210,1,1.0,False,1935,-0.01272349027944372,-0.22521288554732266,-0.22469608968168958,0.01475911191430379,0.21248939526787894,2.1848214285714675,-0.2865184718569696,-0.1746068591124726
210,1,2.0,False,1935,0.015232855549029633,-0.19725653971884932,-0.1964813459203997,0.03475523601995018,0.21248939526787894,2.1848214285714675,-0.2879821495693501,-0.12236511649320006
210,2,1.0,False,1878,-0.07691776682002534,-0.29466076998591134,-0.29040091908069304,-0.07533350236505088,0.21774300316588602,2.116991071428629,-0.4076101365118153,-0.20046276313715944
210,2,2.0,False,1878,-0.0745536284900063,-0.2922966316558923,-0.289900465521707,-0.08101707786997853,0.21774300316588602,2.116991071428629,-0.4215223383707856,-0.18452441140733875
210,3,1.0,False,1944,-0.038564371251910784,-0.23373772841642476,-0.2316801152477005,-0.04382116128601397,0.19517335716451398,2.3201071428571822,-0.3046155568001325,-0.16939818842140053
210,3,2.0,False,1944,-0.03373906389849017,-0.22891242106300413,-0.22736921118646095,-0.02986181619526426,0.19517335716451398,2.3201071428571822,-0.26567176174179574,-0.19554403035850737
210,4,1.0,False,2037,-0.03663531453558803,-0.18705293490982106,-0.18656201689312985,-0.03700139319330334,0.15041762037423298,2.833571428571531,-0.20031335139076534,-0.17480677124753247
210,4,2.0,False,2037,-0.028330455072814193,-0.17874807544704718,-0.17801169842201037,-0.023738102109594834,0.15041762037423298,2.833571428571531,-0.181842543058272,-0.17589029516019367
