b,diff,lo,hi,p,verdict,z
114,0.0035503333333333637,-0.02845290666666652,0.037568736000000484,0.8330470171905215,NULL,0.21079528591755597
115,-0.01231851999999957,-0.04716391866666592,0.024446989333334113,0.5001163771831123,NULL,-0.6743066498550513
116,-0.024648066666666624,-0.05924574233333138,0.010203871333335364,0.16416328505536096,NULL,-1.3912049552394639
117,-0.019984693333333775,-0.052537142999998725,0.014045459333334117,0.2393703771832771,NULL,-1.1765619880184564
118,0.0070272933333334585,-0.025736608333332883,0.03973029866666746,0.6739233364272754,NULL,0.4207695943470647
119,0.0012629066666666883,-0.031902612333334246,0.03437904099999929,0.9404622464071305,NULL,0.07468889134610307
120,-0.019108973333333362,-0.052642477666664696,0.012006374333335715,0.24659631050448616,NULL,-1.1586562994279666
121,-0.008630253333333435,-0.044554114666667144,0.02715796266666641,0.6371072424178092,NULL,-0.4717472000033955
122,0.01041293333333258,-0.02348372200000124,0.04553648366666549,0.5542582704270864,NULL,0.5913912968123293
123,-0.015093480000000131,-0.04719260233333341,0.017966691666666784,0.3638724167597401,NULL,-0.9080109871884177
124,-0.014807466666666817,-0.0480247753333325,0.020769790666667075,0.3988189668072498,NULL,-0.8437323842661394
125,-0.01949891999999996,-0.05358146933333286,0.014412662666667546,0.2609571385025002,NULL,-1.1241317482773279
126,-0.0023068133333328314,-0.03718394766666601,0.033555330333334084,0.8982841764863668,NULL,-0.1278291556227742
127,-0.006474413333333151,-0.04060503933333258,0.028055962000001745,0.711657454976643,NULL,-0.36963099308288927
128,-0.002777213333332404,-0.038061499999997646,0.03324483033333509,0.8786569841850148,NULL,-0.15267194730695668
129,-0.009464413333333394,-0.04337657033333781,0.024220472333328705,0.583116699447294,NULL,-0.5488378983064829
130,0.013216626666666464,-0.020786867333334624,0.04778137366666536,0.4499060067679161,NULL,0.7555717367201028
131,0.0011365599999995993,-0.03326059799999829,0.03608494966666829,0.9487736692849857,NULL,0.06424685531498076
132,-0.016386000000000428,-0.0518582216666668,0.017532619666666277,0.3546255931361096,NULL,-0.9256544375856524
133,-0.008850826666665743,-0.04038467833333223,0.02452755800000091,0.5930061670472828,NULL,-0.5344847941403255
134,-0.014315946666667217,-0.050497347666668954,0.022416239999998457,0.44151130119511384,NULL,-0.7696436560181732
135,0.012733973333333995,-0.02047730333333229,0.04591471766666715,0.45214654514835523,NULL,0.7518412283396175
136,-0.008485426666666525,-0.04413737566666467,0.02848527000000093,0.6469416594883866,NULL,-0.45801500726488176
137,0.0018425866666664237,-0.034577821333332856,0.03544601500000198,0.9178456411775598,NULL,0.10314783429901804
138,0.011750373333333005,-0.019943680999999845,0.045560997999999804,0.4819527396260106,NULL,0.7031653027379254
139,0.024526346666666945,-0.009981547666666023,0.05776380033333397,0.15585226724080378,NULL,1.4191603685669225
140,0.01632613333333335,-0.014826001999999843,0.048303586999999544,0.31070473295298584,NULL,1.0137443978142697
141,-0.002398866666666659,-0.04053248999999795,0.03760357933333505,0.9042088510749587,NULL,-0.12034627151281337
142,-0.01690501333333347,-0.04816011700000005,0.017421610333333306,0.3122842797073598,NULL,-1.0104405266560557
143,0.005286146666667019,-0.03285069466666795,0.039619781333332195,0.7749335206330199,NULL,0.28592766978341183
144,0.03176921333333358,-0.0008999563333331545,0.06384507100000049,0.05442509882411543,NULL,1.923437737421302
145,0.007027813333333327,-0.028422175999999414,0.040114561333332924,0.6877188838098819,NULL,0.4019526364396781
146,-0.004946386666666476,-0.04202193133333396,0.031207006000001012,0.7911797700058851,NULL,-0.26477892892576754
147,0.012366399999999552,-0.020295248333333744,0.045569131999999346,0.46173796311703197,NULL,0.735988061739427
148,-0.0019626000000003,-0.03671030266666647,0.0306944760000009,0.9091307036604919,NULL,-0.11413509316373735
149,0.010324546666666549,-0.023574823999999748,0.043968447000000035,0.5490439494494042,NULL,0.5991933610377412
