family,book,n,diff,lo,hi,how,z,verdict,dep,n_eff,sec
unclustered,82,5000,0.0107162000000002,-0.0222425156666663,0.0434315780000001,phase3_iid,0.6396240905403128,NULL,1,2307,0.6
unclustered,83,5000,-0.0067425066666661,-0.0395162623333326,0.0267781786666672,phase3_iid,-0.3986780833230268,NULL,1,2285,0.6
unclustered,84,5000,0.02437728,-0.0111230080000001,0.0597965149999992,phase3_block,1.3474030618598638,NULL,1,2281,0.6
unclustered,85,5000,-0.0001345866666665,-0.0363734003333313,0.0323651350000017,phase3_block,-0.0076750259593751,NULL,1,2285,0.6
unclustered,86,5000,-0.0057522400000007,-0.0413029559999986,0.0295526526666677,phase3_block,-0.3182298065464297,NULL,1,2270,0.6
unclustered,87,5000,-0.0002881999999999,-0.0342461342380382,0.0353877990348087,day_block,-0.0162237460459574,NULL,1,2297,0.6
unclustered,88,5000,-0.0127089066666664,-0.049238953493067,0.0236474182069473,day_block,-0.6835022505591756,NULL,1,2265,0.6
unclustered,89,5000,-0.0203821599999997,-0.0550125336666659,0.0122922316666666,phase3_iid,-1.1870868175348988,NULL,1,2280,0.6
unclustered,90,5000,0.0029037199999992,-0.0299356936666677,0.0370040433333328,phase3_iid,0.1700391104338687,NULL,1,2298,0.6
unclustered,91,5000,0.0073143999999997,-0.0266480859562179,0.0394307530676288,day_block,0.4339047384420896,NULL,1,2264,0.6
unclustered,92,5000,0.0157832666666664,-0.0190577167488858,0.0516254523714233,day_block,0.8753041170639243,NULL,1,2287,0.6
unclustered,93,5000,0.0035171333333333,-0.0310273596666654,0.0383958370000028,phase3_block,0.1985922587123714,NULL,1,2313,0.6
unclustered,94,5000,-0.0008536266666668,-0.0342737223333325,0.0366792123333331,phase3_block,-0.047160206803764,NULL,1,2266,0.6
unclustered,95,5000,0.0035541333333332,-0.0328110910000018,0.0387852829999987,phase3_block,0.1945901166596246,NULL,1,2302,0.6
unclustered,96,5000,-0.0060051066666672,-0.0388047386666673,0.0288409613333328,phase3_iid,-0.3479834751603645,NULL,1,2280,0.6
unclustered,97,5000,-0.0320344399999999,-0.0654987850000044,0.0019942056666605,phase3_block,-1.860529472467736,NULL,1,2265,0.6
unclustered,98,5000,-0.0161270799999994,-0.0511941743333331,0.0178521516666671,phase3_block,-0.915573588234626,NULL,1,2278,0.6
unclustered,99,5000,-0.0194467600000002,-0.0539421589999981,0.0160353103333337,phase3_block,-1.0893491828086286,NULL,1,2299,0.6
unclustered,100,5000,0.0110039466666666,-0.024076958666666,0.0442037613333332,phase3_iid,0.6317255976383052,NULL,1,2282,0.6
unclustered,101,5000,0.009251653333333,-0.0244185399999985,0.0439699086666686,phase3_block,0.5302915280969306,NULL,1,2277,0.6
unclustered,102,5000,0.0250446133333323,-0.0108858251380106,0.0602453138598605,day_block,1.3801702382052543,NULL,1,2298,0.6
unclustered,103,5000,0.0031648133333328,-0.0325087430000005,0.0363826579999999,phase3_iid,0.1800782132461604,NULL,1,2293,0.6
unclustered,104,5000,0.0158480133333333,-0.0196779726666666,0.0485566446666664,phase3_iid,0.9104333494863652,NULL,1,2303,0.6
unclustered,105,5000,-0.0082673466666668,-0.0415706833333319,0.0261374280000009,phase3_block,-0.4786339929765518,NULL,1,2311,0.6
unclustered,106,5000,-0.0259307466666664,-0.0598279296666665,0.0067235260000005,phase3_iid,-1.5273393932761563,NULL,1,2281,0.6
unclustered,107,5000,-0.0033269066666664,-0.0362265556666659,0.0293250850000002,phase3_iid,-0.1989459678418721,NULL,1,2282,0.6
unclustered,108,5000,-0.0090047866666659,-0.0410611433333331,0.0242601883333341,phase3_iid,-0.5403765429770448,NULL,1,2291,0.6
unclustered,109,5000,-0.0043724666666661,-0.037541199770397,0.0284400086017135,day_block,-0.2597672115834745,NULL,1,2271,0.6
unclustered,110,5000,-0.0291498933333331,-0.0633285665152131,0.0051995519669632,day_block,-1.6674247827782618,NULL,1,2289,0.6
unclustered,111,5000,0.0189844400000001,-0.0128918506987765,0.0546778768512384,day_block,1.101345833683239,NULL,1,2319,0.6
unclustered,112,5000,-0.0008901599999999,-0.0355703210000002,0.0320343120000008,phase3_iid,-0.0516142600534468,NULL,1,2270,0.6
unclustered,113,5000,0.0007749999999998,-0.0339363869951963,0.0325994951330717,day_block,0.0456587348484085,NULL,1,2281,0.6
unclustered,114,5000,0.0165561466666669,-0.0199882626666662,0.0506393999999999,phase3_iid,0.9188878753792395,NULL,1,2272,0.6
unclustered,115,5000,-0.0142212666666669,-0.0478363340000023,0.0210517939999973,phase3_block,-0.8092300229458214,NULL,1,2285,0.6
unclustered,116,5000,0.0128140133333333,-0.0204697166691228,0.0481742867696853,day_block,0.7317465057597288,NULL,1,2276,0.6
unclustered,117,5000,0.0173502133333335,-0.0178209713333345,0.0520092026666648,phase3_block,0.973957003906478,NULL,1,2301,0.6
unclustered,118,5000,0.0068423066666665,-0.0289326473333337,0.0422838879999975,phase3_block,0.3766168820445228,NULL,1,2283,0.6
unclustered,119,5000,-0.0106323866666667,-0.0448125436666675,0.0218965646666652,phase3_block,-0.6247751055708286,NULL,1,2290,0.6
unclustered,120,5000,-0.0200795866666668,-0.0533950299999999,0.0128311019999994,phase3_iid,-1.1885117192575072,NULL,1,2289,0.6
unclustered,121,5000,-0.0079990933333333,-0.0431181807251929,0.0287670101351352,day_block,-0.436193735547992,NULL,1,2299,0.6
unclustered,122,5000,0.0026034800000005,-0.0291798119999985,0.0385729566666673,phase3_iid,0.1506278540387251,NULL,1,2301,0.6
unclustered,123,5000,0.0074935599999996,-0.0270933093333339,0.0394752563333324,phase3_iid,0.4412625594303202,NULL,1,2296,0.6
unclustered,124,5000,0.0023750800000001,-0.032137990333332,0.0367666870000018,phase3_block,0.1351162643023722,NULL,1,2309,0.6
unclustered,125,5000,-0.0181407999999997,-0.0514981256666666,0.0146643026666672,phase3_iid,-1.0747886928232986,NULL,1,2289,0.6
unclustered,126,5000,0.0038968799999999,-0.0332930106666657,0.043364306000001,phase3_block,0.1992698112701106,NULL,1,2299,0.6
unclustered,127,5000,-0.0410062800000003,-0.0770796336666686,-0.0036316676666677,phase3_block,-2.1885107771104177,NEGATIVE,1,2297,0.6
unclustered,128,5000,0.0045797733333335,-0.0282829146666686,0.0396049106666656,phase3_block,0.2644418440985577,NULL,1,2293,0.6
unclustered,129,5000,-0.0075568933333329,-0.0422319077742066,0.0267396546755171,day_block,-0.4294882806510026,NULL,1,2305,0.6
unclustered,130,5000,-0.0109052666666666,-0.0449860660000003,0.0234026513333331,phase3_iid,-0.6250718220927552,NULL,1,2290,0.6
unclustered,131,5000,-0.0022644799999997,-0.0348441016666675,0.0328949369999994,phase3_block,-0.1310411061650771,NULL,1,2280,0.6
unclustered,132,5000,-0.0120583066666669,-0.0463548423333335,0.0199890049999993,phase3_iid,-0.7124653729797479,NULL,1,2275,0.6
unclustered,133,5000,-0.0210698666666667,-0.0579723416666659,0.0143023029999999,phase3_block,-1.1427570579399378,NULL,1,2285,0.6
unclustered,134,5000,0.0239444000000009,-0.0104882756666655,0.0577337150000011,phase3_iid,1.3758074645139888,NULL,1,2296,0.6
unclustered,135,5000,0.0226176266666662,-0.0096217585232159,0.056962195787623,day_block,1.3315440481398253,NULL,1,2294,0.6
unclustered,136,5000,-0.0379159999999999,-0.0729465833333395,-0.0061387763333392,phase3_block,-2.2247099062539064,NEGATIVE,1,2294,0.6
unclustered,137,5000,-0.0162800533333332,-0.0481873933333331,0.0176730593333334,phase3_iid,-0.9689674807705232,NULL,1,2277,0.6
